Latitude1,Longitude1,Latitude2,Longitude2,Distance
10.7742538,106.6826606,10.7748125,106.6821671,82.0
10.7749437,106.7066578,10.774986,106.7060302,68.0
10.7704283,106.6577124,10.7709303,106.6565817,135.0
10.7728072,106.6844295,10.7726735,106.6840307,46.0
10.7697459,106.6613208,10.7703329,106.6627093,165.0
10.7786557,106.7053153,10.7772268,106.7057341,165.0
10.7702361,106.6644349,10.7696781,106.6646849,67.0
10.7696381,106.6928798,10.7688473,106.6937407,128.0
10.7706203,106.672625,10.7688714,106.6767122,486.0
10.771178,106.6545147,10.7713124,106.6534525,116.0
10.7711107,106.6929583,10.7709517,106.69163,146.0
10.7663256,106.6703003,10.7672663,106.6685832,214.0
10.7676795,106.7009909,10.7663638,106.698731,286.0
10.7757983,106.6549425,10.7721764,106.6545092,405.0
10.7651086,106.6651087,10.7653117,106.6659742,97.0
10.7675562,106.668568,10.7672663,106.6685832,32.0
10.7789464,106.6860691,10.776881,106.6838875,330.0
10.7665974,106.6764087,10.7678798,106.674518,250.0
10.7764977,106.6563861,10.7770935,106.656223,68.0
10.7738237,106.6778523,10.7747742,106.6757943,248.0
10.7694067,106.7025174,10.7706933,106.7035181,180.0
10.7730015,106.6833294,10.7727502,106.6834403,30.0
10.7653787,106.6705332,10.7651882,106.6710812,63.0
10.7711107,106.6929583,10.7707599,106.6924572,67.0
10.7769836,106.6537251,10.7766665,106.6541687,59.0
10.7659944,106.6658229,10.7653117,106.6659742,77.0
10.7663256,106.6703003,10.7653787,106.6705332,108.0
10.7663292,106.6673567,10.766943,106.6672171,69.0
10.7676795,106.7009909,10.7672699,106.7012369,52.0
10.7681095,106.6616453,10.768489,106.661962,54.0
10.7651882,106.6710812,10.7678798,106.674518,480.0
10.771178,106.6545147,10.7718527,106.6545823,75.0
10.7712,106.6807953,10.7703203,106.6818152,148.0
10.7703203,106.6818152,10.7693431,106.6835636,219.0
10.777345,106.6540856,10.7769836,106.6537251,56.0
10.7706203,106.672625,10.7678798,106.674518,368.0
10.7764977,106.6563861,10.7755656,106.6567588,111.0
10.7742538,106.6826606,10.7738141,106.6829323,57.0
10.7675598,106.7038772,10.7694067,106.7025174,253.0
10.7672663,106.6685832,10.766943,106.6672171,153.0
10.7713124,106.6534525,10.7718527,106.6545823,137.0
10.7703203,106.6818152,10.7706397,106.6826915,102.0
10.7785288,106.686545,10.7789464,106.6860691,69.0
10.7654024,106.6539644,10.7674029,106.6534428,229.0
10.7709017,106.690035,10.7709517,106.69163,174.0
10.7694067,106.7025174,10.7710773,106.7024222,186.0
10.7727502,106.6834403,10.7726735,106.6840307,65.0
10.7688473,106.6937407,10.7707599,106.6924572,254.0
10.7721764,106.6545092,10.771178,106.6545147,111.0
10.7768786,106.6641612,10.7764378,106.6635869,79.0
10.7729048,106.6830497,10.7727502,106.6834403,46.0
10.7659541,106.6640381,10.7660569,106.6623677,182.0
10.7706475,106.704554,10.7710294,106.7033721,135.0
10.7706475,106.704554,10.7706933,106.7035181,113.0
10.7710773,106.7024222,10.7710294,106.7033721,103.0
10.7711389,106.701082,10.7710773,106.7024222,146.0
10.7712,106.6807953,10.7716546,106.6810808,59.0
10.7720145,106.6617229,10.7764378,106.6635869,532.0
10.7676795,106.7009909,10.7694067,106.7025174,254.0
10.7752579,106.6524645,10.7763806,106.6528986,133.0
10.7756531,106.7060822,10.776941,106.705879,144.0
10.7706933,106.7035181,10.7710294,106.7033721,40.0
10.7720145,106.6617229,10.7726094,106.6606645,133.0
10.7729048,106.6830497,10.7730015,106.6833294,32.0
10.7672207,106.667154,10.766943,106.6672171,31.0
10.7738141,106.6829323,10.7730015,106.6833294,100.0
10.7651275,106.6550805,10.7654024,106.6539644,125.0
10.7681095,106.6616453,10.7689844,106.6616695,97.0
10.7689844,106.6616695,10.7703329,106.6627093,188.0
10.7726094,106.6606645,10.7714691,106.6604866,128.0
10.7663292,106.6673567,10.7659944,106.6658229,171.0
10.7707599,106.6924572,10.7709517,106.69163,92.0
10.77051,106.6608836,10.7697459,106.6613208,97.0
10.7659541,106.6640381,10.7661113,106.6648801,93.0
10.7765539,106.6533297,10.7763253,106.6531092,35.0
10.7775929,106.6831872,10.776881,106.6838875,110.0
10.7663292,106.6673567,10.7672207,106.667154,101.0
10.7653787,106.6705332,10.7650769,106.6706056,34.0
10.7730152,106.7050529,10.774986,106.7060302,243.0
10.7689844,106.6616695,10.768489,106.661962,63.0
10.7702361,106.6644349,10.7703329,106.6627093,188.0
10.7743974,106.6674162,10.7746295,106.6679976,68.0
10.7693431,106.6835636,10.7706397,106.6826915,172.0
10.7659002,106.7046365,10.7675598,106.7038772,202.0
10.7665974,106.6764087,10.7688714,106.6767122,255.0
10.7765539,106.6533297,10.7763806,106.6528986,50.0
10.77051,106.6608836,10.7714691,106.6604866,115.0
10.7756531,106.7060822,10.774986,106.7060302,74.0
10.7747742,106.6757943,10.774436,106.6772992,168.0
10.7738237,106.6778523,10.774436,106.6772992,91.0
10.7730152,106.7050529,10.7718772,106.7057885,149.0
10.7757983,106.6549425,10.7766665,106.6541687,128.0
10.7768786,106.6641612,10.7752318,106.6657437,251.0
10.7659944,106.6658229,10.7661113,106.6648801,103.0
10.7706397,106.6826915,10.7727502,106.6834403,248.0
10.7721764,106.6545092,10.7718527,106.6545823,36.0
10.771178,106.6545147,10.7709303,106.6565817,227.0
10.7712,106.6807953,10.7688714,106.6767122,515.0
10.7711107,106.6929583,10.7746878,106.6932328,398.0
10.7768786,106.6641612,10.7771755,106.6645445,53.0
10.7663638,106.698731,10.7688473,106.6937407,611.0
10.7650769,106.6706056,10.7651882,106.6710812,53.0
10.776881,106.6838875,10.7748125,106.6821671,297.0
10.7738237,106.6778523,10.7716546,106.6810808,427.0
10.7770935,106.656223,10.7755656,106.6567588,179.0
10.7716546,106.6810808,10.7703203,106.6818152,168.0
10.776941,106.705879,10.7772268,106.7057341,35.0
10.7660569,106.6623677,10.7681095,106.6616453,241.0
10.7696381,106.6928798,10.7707599,106.6924572,133.0
10.7743974,106.6674162,10.7752318,106.6657437,204.0
10.7765539,106.6533297,10.7769836,106.6537251,64.0
10.7763253,106.6531092,10.7763806,106.6528986,23.0
10.7663638,106.698731,10.7652355,106.6985799,126.0
10.7757983,106.6549425,10.7764977,106.6563861,175.0
10.7785288,106.686545,10.7759463,106.6869866,291.0
10.7706475,106.704554,10.7718772,106.7057885,192.0
10.7761492,106.687907,10.7746878,106.6932328,604.0
10.7761492,106.687907,10.7759463,106.6869866,103.0
10.7689844,106.6616695,10.7697459,106.6613208,92.0
10.7707599,106.6924572,10.7746878,106.6932328,444.0
10.7778492,106.6537393,10.777345,106.6540856,67.0
10.7674029,106.6534428,10.7713124,106.6534525,434.0
10.7651275,106.6550805,10.7674029,106.6534428,309.0
